id retweet_count favorite_count
798644042770751489 2010 0
798628517273620480 2134 0
798585098161549313 6203 0
798576900688019456 6352 0
798340744599797760 3645 0
798209839306514432 2772 11026
797971864723324932 3417 12367
797545162159308800 5271 15410
797236660651966464 7214 21215
797165961484890113 29 246
796904159865868288 9653 0
796865951799083009 2069 8143
796759840936919040 3315 12595
796563435802726400 7935 0
796484825502875648 1914 8043
796387464403357696 4524 11689
796177847564038144 15548 0
796149749086875649 15548 34308
796125600683540480 1943 5255
796116448414461957 2627 9671
796080075804475393 2517 8993
796031486298386433 3997 11497
795464331001561088 25888 52846
795400264262053889 3119 10713
795076730285391872 5902 17237
794983741416415232 3665 0
794926597468000259 2504 10921
794355576146903043 11179 0
794332329137291264 2886 10178
794205286408003585 3599 9784
793962221541933056 5306 17853
793845145112371200 2035 9792
793614319594401792 3390 0
793601777308463104 1769 8470
793500921481273345 2582 11359
793286476301799424 9993 26113
793271401113350145 2580 9196
793256262322548741 9065 21220
793241302385262592 3558 11167
793226087023144960 3110 10448
793210959003287553 3048 9487
793195938047070209 6119 16229
793180763617361921 2165 7366
793165685325201412 3021 10009
793150605191548928 1847 6556
793135492858580992 2712 6864
793120401413079041 4246 13478
792913359805018113 4364 15229
792883833364439040 4646 12015
792773781206999040 1825 7797
792394556390137856 4663 14285
792050063153438720 1963 7616
791821351946420224 22837 0
791784077045166082 10446 0
791780927877898241 4140 0
791774931465953280 24131 47903
791672322847637504 3390 12467
791406955684368384 4471 13925
791312159183634433 2758 9332
791026214425268224 4462 0
790987426131050500 2319 10491
790946055508652032 5095 17652
790723298204217344 2511 0
790698755171364864 2077 8704
790581949425475584 7807 21948
790337589677002753 2024 8301
790277117346975746 3457 13332
790227638568808452 3878 0
789986466051088384 2511 9808
789960241177853952 4485 0
789903600034189313 4480 11023
789628658055020548 1933 7968
789599242079838210 2100 7180
789530877013393408 3665 12485
789314372632018944 2507 9145
789280767834746880 5366 0
789268448748703744 2811 9677
789137962068021249 3039 10301
788908386943430656 13446 29081
788765914992902144 11179 29103
788552643979468800 7817 0
788412144018661376 5745 16528
788178268662984705 2300 7665
788150585577050112 1415 6520
788070120937619456 3713 0
788039637453406209 1436 6518
787810552592695296 3320 9191
787717603741622272 3021 10843
787397959788929025 3076 11510
787322443945877504 1900 8263
787111942498508800 7302 0
786963064373534720 8653 28186
786729988674449408 2604 0
786709082849828864 6598 19263
786664955043049472 2772 11294
786595970293370880 3359 9977
786363235746385920 3792 11545
786286427768250368 3100 8436
786233965241827333 5167 16215
786051337297522688 166 1521
786036967502913536 7647 0
785927819176054784 3429 12041
785872687017132033 1972 7077
785639753186217984 2402 8280
785533386513321988 2171 9643
785515384317313025 1361 6460
785264754247995392 1762 7691
785170936622350336 5259 12791
784826020293709826 3501 10739
784517518371221505 2743 9487
784431430411685888 1388 6031
784183165795655680 8728 21296
784057939640352768 12055 31608
783839966405230592 11693 31800
783821107061198850 2114 7780
783695101801398276 3492 11054
783466772167098368 2433 8943
783391753726550016 5954 17843
783347506784731136 6051 0
783334639985389568 12666 30908
783085703974514689 2399 8613
782969140009107456 7940 25516
782747134529531904 1508 7908
782722598790725632 5843 18284
782598640137187329 2023 8245
782305867769217024 6034 17615
782021823840026624 6737 0
781955203444699136 3633 11761
781661882474196992 2929 11042
781655249211752448 1210 4227
781524693396357120 6001 21944
781308096455073793 2749 7531
781251288990355457 2263 8918
781163403222056960 2955 10340
780931614150983680 7935 22894
780858289093574656 2163 7607
780800785462489090 1404 5814
780601303617732608 3602 12776
780543529827336192 1865 6652
780496263422808064 3997 0
780476555013349377 125 0
780459368902959104 1154 5593
780192070812196864 2413 9200
780092040432480260 2487 0
780074436359819264 5393 12926
779834332596887552 7647 20033
779377524342161408 3361 9329
779124354206535695 19878 0
779123168116150273 3940 12463
779056095788752897 4881 15625
778990705243029504 7834 21118
778774459159379968 10754 0
778764940568104960 395 909
778748913645780993 1432 7285
778650543019483137 1616 6091
778624900596654080 1089 4912
778408200802557953 4693 14412
778396591732486144 13205 0
778383385161035776 1198 6178
778286810187399168 3556 10965
778039087836069888 2830 8938
778027034220126208 1749 6913
777953400541634568 3800 0
777885040357281792 1774 6723
777684233540206592 3172 11855
777641927919427584 4580 0
777621514455814149 2684 9251
777189768882946048 4655 15123
776819012571455488 14838 0
776813020089548800 1306 5151
776477788987613185 3006 9322
776249906839351296 9857 0
776218204058357768 17217 31640
776201521193218049 2714 10131
776113305656188928 4681 12392
776088319444877312 164 1928
775898661951791106 17718 0
775842724423557120 2880 12354
775733305207554048 4294 14611
775729183532220416 4915 13624
775364825476165632 3201 7833
775350846108426240 4195 10715
775085132600442880 5082 16394
774757898236878852 1904 9015
774639387460112384 1858 7090
774314403806253056 5989 22962
773985732834758656 4168 11313
773922284943896577 1862 6745
773704687002451968 1742 6962
773670353721753600 1394 5604
773547596996571136 6638 23286
773336787167145985 5472 0
773308824254029826 8029 24482
773247561583001600 3463 9918
773191612633579521 4419 10517
772877495989305348 4161 9033
772826264096874500 2514 8439
772615324260794368 3623 0
772581559778025472 1813 6832
772193107915964416 1491 6346
772152991789019136 1200 3986
772117678702071809 790 3957
772114945936949249 504 2860
772102971039580160 996 4219
771908950375665664 2039 6917
771770456517009408 3645 12633
771500966810099713 2817 8706
771380798096281600 5472 11066
771171053431250945 8115 0
771136648247640064 3147 9655
771102124360998913 1547 6571
771014301343748096 1773 7225
771004394259247104 234 0
770787852854652928 1299 5207
770772759874076672 1514 5461
770655142660169732 1870 7713
770414278348247044 2222 6620
770293558247038976 1600 6559
770093767776997377 3262 0
770069151037685760 2463 7963
769940425801170949 10346 33037
769695466921623552 1771 6721
769335591808995329 8242 0
769212283578875904 1836 5686
768970937022709760 7019 15164
768909767477751808 2884 0
768855141948723200 954 4412
768609597686943744 1294 4332
768596291618299904 1369 5278
768554158521745409 6244 0
768473857036525572 3670 14333
768193404517830656 3800 11471
767884188863397888 1502 4994
767754930266464257 5760 16850
767500508068192258 2502 7865
767191397493538821 4072 12901
767122157629476866 3053 10647
766864461642756096 6043 0
766793450729734144 1454 5339
766714921925144576 414 2739
766693177336135680 847 4236
766423258543644672 1707 6334
766313316352462849 2018 7135
766078092750233600 2783 0
766069199026450432 916 4479
766008592277377025 528 3935
765719909049503744 2298 7606
765669560888528897 1304 5465
765395769549590528 3639 27805
765371061932261376 2316 7447
765222098633691136 3623 12199
764857477905154048 1898 6759
764259802650378240 1621 6352
763956972077010945 58 782
763837565564780549 4462 13239
763183847194451968 1575 5667
763167063695355904 3233 0
763103485927849985 2448 7722
762699858130116608 3878 12770
762471784394268675 6922 11827
762464539388485633 4485 10823
762316489655476224 1203 5055
762035686371364864 16721 33551
761976711479193600 2160 5671
761750502866649088 4211 0
761745352076779520 920 4465
761672994376806400 31074 52018
761599872357261312 1257 4337
761371037149827077 19232 0
761334018830917632 1550 5455
761292947749015552 1172 4685
761227390836215808 1664 5576
761004547850530816 3713 11876
760893934457552897 1039 4009
760656994973933572 2057 6936
760641137271070720 1380 5206
760539183865880579 3889 7941
760521673607086080 1493 4436
760290219849637889 12281 28133
760252756032651264 925 4134
760190180481531904 1935 5972
760153949710192640 33 0
759943073749200896 2234 6227
759923798737051648 6043 15384
759846353224826880 2122 7038
759793422261743616 2031 6253
759566828574212096 22590 0
759557299618865152 1252 4921
759447681597108224 2604 8899
759446261539934208 518 1753
759197388317847553 2080 6341
759159934323924993 1239 0
759099523532779520 4455 15226
759047813560868866 2163 6815
758854675097526272 957 3723
758828659922702336 4088 11707
758740312047005698 1717 5994
758474966123810816 1059 4006
758467244762497024 2373 5024
758405701903519748 2058 5445
758355060040593408 1157 3589
758099635764359168 10754 20104
758041019896193024 400 2834
757741869644341248 3471 7214
757729163776290825 8663 0
757725642876129280 1295 4746
757611664640446465 1192 4792
757597904299253760 313 0
757596066325864448 1130 4551
757400162377592832 7307 15840
757393109802180609 1863 6102
757354760399941633 1523 4732
756998049151549440 2124 6571
756939218950160384 2145 6960
756651752796094464 1394 5297
756526248105566208 3854 10887
756303284449767430 1159 4128
756288534030475264 18629 44854
756275833623502848 1620 6718
755955933503782912 3087 7671
755206590534418437 5749 17226
755110668769038337 11828 22228
754874841593970688 8547 0
754856583969079297 2692 7187
754747087846248448 553 2699
754482103782404096 2084 5547
754449512966619136 779 3918
754120377874386944 2487 8205
753655901052166144 2320 6119
753420520834629632 3807 8301
753398408988139520 2049 6035
753375668877008896 2487 7982
753298634498793472 6139 0
753294487569522689 1116 3546
753039830821511168 22325 38849
753026973505581056 1042 4080
752932432744185856 7302 13207
752917284578922496 1679 7220
752701944171524096 3086 0
752682090207055872 1713 6255
752660715232722944 1674 4604
752568224206688256 2436 5772
752519690950500352 3681 7699
752334515931054080 1178 3994
752309394570878976 17822 0
752173152931807232 1963 6222
751950017322246144 992 3216
751937170840121344 1437 5448
751830394383790080 2083 6056
751793661361422336 3098 6121
751598357617971201 3241 8255
751583847268179968 1183 4598
751538714308972544 1350 5268
751456908746354688 1068 3353
751251247299190784 6253 13048
751205363882532864 1954 6588
751132876104687617 1385 5297
750868782890057730 1474 4995
750719632563142656 5366 13795
750506206503038976 1219 4642
750429297815552001 4580 13764
750383411068534784 1214 4758
750381685133418496 30 726
750147208377409536 1022 3248
750132105863102464 1362 3801
750117059602808832 1379 4525
750101899009982464 898 3174
750086836815486976 575 2270
750071704093859840 3556 8208
750056684286914561 953 3285
750041628174217216 657 3316
750026558547456000 838 2826
750011400160841729 966 3392
749996283729883136 860 3174
749981277374128128 2607 5331
749774190421639168 1396 4864
749417653287129088 1767 6364
749403093750648834 578 2740
749395845976588288 3684 8969
749317047558017024 2353 5720
749075273010798592 2200 6005
749064354620928000 1611 4991
749036806121881602 831 3240
748977405889503236 3615 11197
748932637671223296 2402 6088
748705597323898880 1004 2883
748699167502000129 1696 4933
748692773788876800 1409 4423
748575535303884801 2101 6323
748568946752774144 712 2283
748346686624440324 1315 5445
748337862848962560 4375 7999
748324050481647620 810 3857
748307329658011649 754 3822
748220828303695873 8278 14745
747963614829678593 2268 6019
747933425676525569 2707 6901
747885874273214464 1044 3070
747844099428986880 795 2928
747816857231626240 1230 5045
747651430853525504 164 1442
747648653817413632 6197 13436
747600769478692864 583 2419
747594051852075008 1114 3850
747512671126323200 1681 5763
747461612269887489 1090 4023
747439450712596480 2043 5648
747242308580548608 3048 0
747219827526344708 1672 5509
747204161125646336 975 3517
747103485104099331 4231 9972
746906459439529985 312 3004
746872823977771008 2278 6242
746818907684614144 1828 5521
746790600704425984 1684 5073
746757706116112384 4140 9959
746726898085036033 1898 6278
746542875601690625 1983 5245
746521445350707200 1040 0
746507379341139972 1145 4829
746369468511756288 1740 6420
746131877086527488 2335 7187
746056683365994496 861 3685
745789745784041472 1127 4184
745712589599014916 2461 7265
745433870967832576 2688 7378
745422732645535745 2566 8928
745314880350101504 2937 7463
745074613265149952 3734 8141
745057283344719872 2410 7520
744995568523612160 657 3087
744971049620602880 2853 8192
744709971296780288 1646 5818
744334592493166593 2254 7037
744234799360020481 82799 162712
744223424764059648 391 1751
743980027717509120 1151 4319
743895849529389061 1013 3778
743835915802583040 2200 0
743609206067040256 1453 4650
743595368194129920 6937 19158
743545585370791937 985 3658
743510151680958465 3919 8221
743253157753532416 1288 4393
743222593470234624 2005 6436
743210557239623680 1441 3994
742534281772302336 3754 7322
742528092657332225 2109 4595
742465774154047488 4115 7542
742423170473463808 3997 10203
742385895052087300 2097 7067
742161199639494656 1453 4507
742150209887731712 1643 5334
741793263812808706 1589 4731
741743634094141440 2916 8495
741438259667034112 877 3811
741303864243200000 3404 9106
741099773336379392 5860 10408
741067306818797568 3262 9818
740995100998766593 2926 6627
740711788199743490 987 3535
740699697422163968 823 2942
740676976021798912 7164 18845
740373189193256964 14036 36123
740365076218183684 455 2567
740359016048689152 902 3426
740214038584557568 2072 6934
739979191639244800 6244 20731
739932936087216128 1135 4206
739844404073074688 899 3936
739623569819336705 1434 3940
739606147276148736 1746 5578
739544079319588864 22590 41133
739485634323156992 3096 7448
739238157791694849 61286 120275
738891149612572673 6 112
738885046782832640 1204 3911
738883359779196928 855 3458
738537504001953792 1637 5288
738402415918125056 885 3373
738184450748633089 1269 4477
738166403467907072 3586 9123
738156290900254721 689 2619
737826014890496000 1854 5474
737800304142471168 3647 10360
737678689543020544 1401 5221
737445876994609152 4702 10657
737322739594330112 852 3741
737310737551491075 7828 15232
736736130620620800 1831 4458
736392552031657984 7817 18394
736365877722001409 1317 4132
736225175608430592 2917 8427
736010884653420544 3135 8168
735991953473572864 1214 3729
735648611367784448 1160 4146
735635087207878657 2470 6404
735274964362878976 5349 13489
735256018284875776 933 3458
735137028879360001 1020 3232
734912297295085568 545 2837
734787690684657664 6637 13022
734776360183431168 571 2602
734559631394082816 416 1545
733828123016450049 818 3708
733822306246479872 1063 3791
